file,title,definition,category,sub_category,def_cluster_400
./full_texts/10.1016/j.dcan.2023.02.017/10.1016_j.dcan.2023.02.017.json,Editorial Board,"digital twin is a simulation model of the physical assets, buildings, roads, and other entities in cities [15]",technology and it,technology and it,56
./full_texts/10.1016/j.micpro.2023.104794/10.1016_j.micpro.2023.104794.json,Towards a wickless smooth–Wall aluminium food packaging tray mould tool digital twin - Advanced computational modelling supported by experimental validation,Digital Twins is a transformation of technology in a new dimension and enhancing the research opportunities to solve the complex problems in various industries,healthcare and medical innovation,healthcare and medical innovation,53
./full_texts/10.1016/j.micpro.2023.104794/10.1016_j.micpro.2023.104794.json,Towards a wickless smooth–Wall aluminium food packaging tray mould tool digital twin - Advanced computational modelling supported by experimental validation,"Digital Twins is a collaboration of various industries, technologies and utilities",manufacturing and industrial engineering,"['digital twin', 'smart manufacturing', 'industrial internet', 'edge computing']",293
./full_texts/10.1016/j.apmt.2018.11.003/10.1016_j.apmt.2018.11.003.json,Editorial,digital twin is a virtual replica of the hardware that has been successfully constructed and utilized for different manufacturing processes by many industries and government agencies,manufacturing and industrial engineering,manufacturing and industrial engineering,358
./full_texts/10.1016/j.jmsy.2020.08.001/10.1016_j.jmsy.2020.08.001.json,Platinum-based heterogeneous nanomaterials via wet-chemistry approaches toward electrocatalytic applications,digital twin is a very significant and promising research aspect in industrial production,manufacturing and industrial engineering,"['predictive maintenance', 'digital twin']",6
./full_texts/10.1016/j.procir.2021.11.160/10.1016_j.procir.2021.11.160.json,Third International Conference on Children's Bone Health,Digital Twin is a complex topic developing over thirty years and still in progress,manufacturing and industrial engineering,"['digital twin', 'smart manufacturing', 'artificial intelligence', 'additive manufacturing', 'process monitoring']",302
./full_texts/10.1016/B978-0-12-822129-7.00004-8/10.1016_B978-0-12-822129-7.00004-8.json,Is it time to re-prioritize neuroimaging databases and digital repositories?,digital twin is a living model that drives a business benefit,manufacturing and industrial engineering,[],256
./full_texts/10.1016/j.ymssp.2022.109971/10.1016_j.ymssp.2022.109971.json,Smart grid encounters edge computing: opportunities and applications,digital twin is a computational model of the physical system (called the physical twin),manufacturing and industrial engineering,manufacturing and industrial engineering,79
./full_texts/10.1016/j.ymssp.2022.109971/10.1016_j.ymssp.2022.109971.json,Smart grid encounters edge computing: opportunities and applications,digital twin is a capability to model complex engineering (or other) systems,manufacturing and industrial engineering,manufacturing and industrial engineering,290
./full_texts/10.1016/j.ifacol.2022.12.032/10.1016_j.ifacol.2022.12.032.json,A Reference Human-centric Architecture Model: a skill-based approach for education of future workforce,"digital twin is a visual tool that allows viewing from an electronic device, the dimensions of the project, and its status",manufacturing and industrial engineering,"['digital twin', 'smart manufacturing', 'machine learning', 'artificial intelligence']",189
./full_texts/10.1016/j.autcon.2023.104931/10.1016_j.autcon.2023.104931.json,A concept preview: Distributed Decision Making and Goal Execution,digital twin is a revolutionising technology in the industry 4.0 era,manufacturing and industrial engineering,"['digital twin', 'machine learning', 'artificial intelligence', 'product lifecycle', 'additive manufacturing', 'process monitoring']",43
./full_texts/10.1016/j.promfg.2018.10.071/10.1016_j.promfg.2018.10.071.json,Inside Front Cover - Editorial Board Page,Digital Twin is a dynamic digital representation of industrial infrastructure,manufacturing and industrial engineering,"['digital twin', 'smart manufacturing', 'machine learning', 'artificial intelligence', 'industrial internet', 'product lifecycle', 'additive manufacturing', 'process monitoring', 'predictive maintenance']",129
./full_texts/10.1016/j.promfg.2018.10.071/10.1016_j.promfg.2018.10.071.json,Inside Front Cover - Editorial Board Page,"Digital Twin is a way to present machinery, Mika Lohtander et al",manufacturing and industrial engineering,manufacturing and industrial engineering,107
./full_texts/10.1016/j.promfg.2018.10.071/10.1016_j.promfg.2018.10.071.json,Inside Front Cover - Editorial Board Page,"Digital Twin is a way to present machinery, 470 Mika Lohtander et al",manufacturing and industrial engineering,"['digital twin', 'smart manufacturing', 'machine learning', 'artificial intelligence', 'industrial internet', 'product lifecycle', 'additive manufacturing', 'process monitoring', 'predictive maintenance', 'reinforcement learning', 'edge computing']",107
./full_texts/10.1016/j.ifacol.2022.09.471/10.1016_j.ifacol.2022.09.471.json,Recent advances in the use of digital technologies in agri-food processing: A short review,"digital twin is a virtual representation of an object or system that spans its lifecycle, is updated from real- time data, and uses simulation, ML and reasoning to help decision-making, (IBM (2020))",manufacturing and industrial engineering,manufacturing and industrial engineering,315
./full_texts/10.1016/j.buildenv.2023.110652/10.1016_j.buildenv.2023.110652.json,Towards robotic laboratory automation Plug & Play: The “LAPP” framework,"digital twin is defined as a comprehensive set of information constructs that fully describes a physical product, encompassing both micro atomic level to the macro geometrical level [40]",manufacturing and industrial engineering,manufacturing and industrial engineering,11
./full_texts/10.1016/j.optlastec.2021.107404/10.1016_j.optlastec.2021.107404.json,Blending performance of helical static mixer used for twin-pipe 3D concrete printing,"Digital twin is a valuable tool for industry 4.0, and refers to the real-time exact digital presentation of a process or service or production system or physical object characterized by its geometry, material, and behavior [206,207]",manufacturing and industrial engineering,manufacturing and industrial engineering,289
./full_texts/10.1016/j.bmt.2023.02.001/10.1016_j.bmt.2023.02.001.json,Use of Model-Based System Engineering methodology and tools for disruption analysis of supply chains: A case in semiconductor manufacturing,Digital Twin is a patient model developed before the actual surgery,manufacturing and industrial engineering,"['digital twin', 'artificial intelligence', 'industrial internet']",146
./full_texts/10.1016/j.bmt.2023.02.001/10.1016_j.bmt.2023.02.001.json,Use of Model-Based System Engineering methodology and tools for disruption analysis of supply chains: A case in semiconductor manufacturing,digital twin is a real-time digital representation of an item or process that incorporates all the current information and is updated as new data becomes available,manufacturing and industrial engineering,[],120
./full_texts/10.1016/j.bmt.2023.02.001/10.1016_j.bmt.2023.02.001.json,Use of Model-Based System Engineering methodology and tools for disruption analysis of supply chains: A case in semiconductor manufacturing,Digital Twin is a virtual replica of an item that is gaining traction in several sectors,healthcare and medical innovation,healthcare and medical innovation,269
./full_texts/10.1016/j.bmt.2023.02.001/10.1016_j.bmt.2023.02.001.json,Use of Model-Based System Engineering methodology and tools for disruption analysis of supply chains: A case in semiconductor manufacturing,digital twin is a virtual representation of an actual item,unkown,unkown,91
./full_texts/10.1016/j.bmt.2023.02.001/10.1016_j.bmt.2023.02.001.json,Use of Model-Based System Engineering methodology and tools for disruption analysis of supply chains: A case in semiconductor manufacturing,digital twin is a computer-generated replica of that system or thing,healthcare and medical innovation,healthcare and medical innovation,263
./full_texts/10.1016/j.bmt.2023.02.001/10.1016_j.bmt.2023.02.001.json,Use of Model-Based System Engineering methodology and tools for disruption analysis of supply chains: A case in semiconductor manufacturing,"digital twin is a virtual version of a real thing that may be tracked, studied, and improved",healthcare and medical innovation,healthcare and medical innovation,91
./full_texts/10.1016/j.jbiomech.2023.111557/10.1016_j.jbiomech.2023.111557.json,Solid phase transition of Cu precipitates in a low carbon TRIP assisted steel,"digital twin is a computational model representing all system dynamics (Barbieri et al., 2014)",manufacturing and industrial engineering,"['digital twin', 'smart manufacturing', 'additive manufacturing']",79
./full_texts/10.1016/j.scs.2023.104917/10.1016_j.scs.2023.104917.json,Explainable deep learning for automatic rock classification,"digital twin is a virtual representation of a device in practice, based on actual measurement data",manufacturing and industrial engineering,"['reinforcement learning', 'process monitoring']",263
./full_texts/10.1016/j.dcan.2023.01.016/10.1016_j.dcan.2023.01.016.json,Considering alternatives to the schizophrenia construct,Digital twin is a promising solution for simulating and enabling software defined satellite networks,technology and it,technology and it,227
./full_texts/10.1016/j.procs.2022.08.019/10.1016_j.procs.2022.08.019.json,Special report: AI Institute for next generation food systems (AIFS),"Digital Twin is a virtual representation of a physical artifact (here, a Supply Chain) that contains a bi-directional data flow between the virtual and digital representation",manufacturing and industrial engineering,['digital twin'],17
./full_texts/10.1016/j.foodcont.2021.108600/10.1016_j.foodcont.2021.108600.json,Deep Generative Models: The winning key for large and easily accessible ECG datasets?,"digital twin is a virtual representation of a particular product, such as fresh horticultural produce",agriculture and farm management,agriculture and farm management,20
./full_texts/10.1016/j.conengprac.2022.105377/10.1016_j.conengprac.2022.105377.json,A methodology to integrate process-induced subsurface characteristics into a digital twin-based framework for the evaluation of machining processes,"digital twin is a virtual replica of a physical equipment enabling integration between physical and cyber spaces (VanDerHorn & Mahadevan, 2021)",manufacturing and industrial engineering,['process monitoring'],130
./full_texts/10.1016/j.scico.2022.102809/10.1016_j.scico.2022.102809.json,Microalgal treatment of high-nutrient wastewater using twin layer cultivation system,"digital twin is a digital representation of a physical system that operates in parallel 11 11 A digital twin must be able to operate synchronously with the physical system, but asynchronous operation is also permissible",manufacturing and industrial engineering,"['digital twin', 'smart manufacturing', 'machine learning', 'artificial intelligence', 'product lifecycle', 'process monitoring']",191
./full_texts/10.1016/j.jii.2021.100289/10.1016_j.jii.2021.100289.json,High strength carbon-fiber reinforced polyamide 6 composites additively manufactured by screw-based extrusion,"digital twin is defined as a highly integrated multi-objective, multi-scale and multi-probability simulation model for aircraft or aircraft system",manufacturing and industrial engineering,manufacturing and industrial engineering,4
./full_texts/10.1016/j.procir.2022.08.091/10.1016_j.procir.2022.08.091.json,A scoping review of supervised learning modelling and data-driven optimisation in monoclonal antibody process development,"digital twin is described as a digital informational construct of a physical system, created as an entity on its own and linked to the physical system in question [3]",manufacturing and industrial engineering,"['digital twin', 'additive manufacturing']",343
./full_texts/10.1016/j.compstruc.2020.106410/10.1016_j.compstruc.2020.106410.json,7 Invisible and Natural Effects,digital twin is a virtualized proxy of a real physical dynamic system,manufacturing and industrial engineering,manufacturing and industrial engineering,375
./full_texts/10.1016/j.aei.2021.101297/10.1016_j.aei.2021.101297.json,Planning for more resilient urban transport systems: Lessons learned from the Covid-19 pandemic,"Digital Twin is defined as a software representation of a physical asset, system or process designed to detect, prevent, predict and optimize through real time analytics to deliver business value [140]",manufacturing and industrial engineering,"['digital twin', 'smart manufacturing', 'machine learning', 'artificial intelligence', 'industrial internet', 'product lifecycle', 'additive manufacturing', 'process monitoring', 'predictive maintenance', 'reinforcement learning', 'edge computing']",97
./full_texts/10.1016/j.aei.2021.101297/10.1016_j.aei.2021.101297.json,Planning for more resilient urban transport systems: Lessons learned from the Covid-19 pandemic,"digital twin is a virtual double of a product, a machine, a process or of a complete production facility",manufacturing and industrial engineering,"['digital twin', 'smart manufacturing', 'machine learning', 'artificial intelligence', 'industrial internet', 'product lifecycle', 'additive manufacturing', 'process monitoring', 'predictive maintenance']",347
./full_texts/10.1016/j.aei.2021.101297/10.1016_j.aei.2021.101297.json,Planning for more resilient urban transport systems: Lessons learned from the Covid-19 pandemic,"digital twin is a connected, virtual replica of an in-service physical asset — in the form of an integrated multidomain system simulation —which mirrors the life and experience of the asset",manufacturing and industrial engineering,manufacturing and industrial engineering,24
./full_texts/10.1016/j.engfailanal.2020.104517/10.1016_j.engfailanal.2020.104517.json,Effect of high energy electric pulse on microstructure and mechanical properties of pre-deformed SUS 304 ultra-thin strip,"digital twin is a term used to describe a model or several models of a physical structure, mechanism, process or system, where each model is specifically derived for collection and generation of relevant data [1–3]",manufacturing and industrial engineering,"['digital twin', 'smart manufacturing', 'process monitoring', 'predictive maintenance']",328
./full_texts/10.1016/j.engfracmech.2020.107076/10.1016_j.engfracmech.2020.107076.json,A grasps-generation-and-selection convolutional neural network for a digital twin of intelligent robotic grasping,digital twin is a digital representation of an engineering system,manufacturing and industrial engineering,"['digital twin', 'smart manufacturing', 'machine learning', 'artificial intelligence', 'process monitoring', 'predictive maintenance']",238
./full_texts/10.1016/j.engfracmech.2020.107076/10.1016_j.engfracmech.2020.107076.json,A grasps-generation-and-selection convolutional neural network for a digital twin of intelligent robotic grasping,"Digital twin is a comprehensive vision and more implementations are expected in the future, including integrating online monitoring and real-time simulation techniques",manufacturing and industrial engineering,"['digital twin', 'machine learning', 'artificial intelligence', 'product lifecycle', 'predictive maintenance']",242
./full_texts/10.1016/j.jmsy.2020.06.017/10.1016_j.jmsy.2020.06.017.json,Construction safety performance evaluation based on data envelopment analysis (DEA) from a hybrid perspective of cross-sectional and longitudinal,"defined digital twin as high fidelity model or multidisciplinary simulation, without considering real-time connection with the physical object",manufacturing and industrial engineering,"['digital twin', 'smart manufacturing', 'machine learning', 'artificial intelligence', 'industrial internet', 'product lifecycle', 'additive manufacturing', 'process monitoring', 'predictive maintenance', 'reinforcement learning', 'edge computing']",138
./full_texts/10.1016/j.jmsy.2020.06.017/10.1016_j.jmsy.2020.06.017.json,Construction safety performance evaluation based on data envelopment analysis (DEA) from a hybrid perspective of cross-sectional and longitudinal,"Digital twin is a life management and certification paradigm whereby models and simulations consist of as-built vehicle state, as-experienced loads and environments, and other vehicle-specific history to enable high-fidelity modeling of individual aerospace vehicles throughout their service lives",manufacturing and industrial engineering,manufacturing and industrial engineering,192
./full_texts/10.1016/j.jmsy.2020.06.017/10.1016_j.jmsy.2020.06.017.json,Construction safety performance evaluation based on data envelopment analysis (DEA) from a hybrid perspective of cross-sectional and longitudinal,Digital Twin is a set of virtual information constructs that fully describes a potential or actual physical manufactured product from the micro atomic level to the macro geometrical level,manufacturing and industrial engineering,manufacturing and industrial engineering,11
./full_texts/10.1016/j.jmsy.2020.06.017/10.1016_j.jmsy.2020.06.017.json,Construction safety performance evaluation based on data envelopment analysis (DEA) from a hybrid perspective of cross-sectional and longitudinal,"digital twin is a one-to-one virtual replica of a “technical asset” (e.g., machine, component, and part of the environment)",manufacturing and industrial engineering,manufacturing and industrial engineering,386
./full_texts/10.1016/j.jmsy.2020.06.017/10.1016_j.jmsy.2020.06.017.json,Construction safety performance evaluation based on data envelopment analysis (DEA) from a hybrid perspective of cross-sectional and longitudinal,"digital twin is a virtual instance of a physical system (twin) that is continually updated with the latter’s performance, maintenance, and health status data throughout the physical system’s life cycle",manufacturing and industrial engineering,manufacturing and industrial engineering,13
