file,title,defs,eid,dc:description,openArchiveArticle,prism:coverDate,openaccessUserLicense,prism:aggregationType,prism:url,dc:creator,link,prism:isbn,dc:format,openaccessType,pii,prism:publisher,dc:title,prism:copyright,openaccess,dcterms:isPartOf,dcterms:subject,openaccessArticle,prism:publicationName,openaccessSponsorType,prism:pageRange,prism:endingPage,pubType,prism:coverDisplayDate,prism:doi,prism:startingPage,dc:identifier,openaccessSponsorName,prism:issn,prism:volume,prism:issueIdentifier,prism:number,prism:issueName,articleNumber,prism:edition
../full_texts/10.1053/j.semnuclmed.2022.10.007/10.1053_j.semnuclmed.2022.10.007.json,unkonwn,digital twin is a digital model of the actual object,1-s2.0-S0001299822000940,"Developments in artificial intelligence, particularly convolutional neural networks and deep learning, have the potential for problem solving that has previously confounded human intelligence. Accurate prediction of radiation dosimetry pre-treatment with scope to adjust dosing for optimal target and non-target tissue doses is consistent with striving for improved the outcomes of precision medicine. The combination of artificial intelligence and production of digital twins could provide an avenue for an individualised therapy doses and enhanced outcomes in theranostics. While there are barriers to overcome, the maturity of individual technologies (i.e. radiation dosimetry, artificial intelligence, theranostics and digital twins) places these approaches within reach.",false,2023-05-31,,Journal,https://api.elsevier.com/content/article/pii/S0001299822000940,"[{'@_fa': 'true', '$': 'Currie, Geoffrey M.'}, {'@_fa': 'true', '$': 'Rohren, Eric M.'}]","[{'@_fa': 'true', '@rel': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0001299822000940'}, {'@_fa': 'true', '@rel': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0001299822000940'}]",,application/json,,S0001-2998(22)00094-0,Elsevier Inc.,"Radiation Dosimetry, Artificial Intelligence and Digital Twins: Old Dog, New Tricks",© 2022 Elsevier Inc. All rights reserved.,0,,,false,Seminars in Nuclear Medicine,,457-466,466,rev,May 2023,10.1053/j.semnuclmed.2022.10.007,457,doi:10.1053/j.semnuclmed.2022.10.007,,00012998,53,3,3,Hematology,,
../full_texts/10.1016/j.dcan.2023.02.017/10.1016_j.dcan.2023.02.017.json,unkonwn,"digital twin is a simulation model of the physical assets, buildings, roads, and other entities in cities [15]",1-s2.0-S2352864823000524,"The Metaverse depicts a parallel digitalized world where virtuality and reality are fused. It has economic and social systems like those in the real world and provides intelligent services and applications. In this paper, we introduce the Metaverse from a new technology perspective, including its essence, corresponding technical framework, and potential technical challenges. Specifically, we analyze the essence of the Metaverse from its etymology and point out breakthroughs promising to be made in time, space, and contents of the Metaverse by citing Maslow's Hierarchy of Needs. Subsequently, we conclude four pillars of the Metaverse, named ubiquitous connections, space convergence, virtuality and reality interaction, and human-centered communication, and establish a corresponding technical framework. Additionally, we envision open issues and challenges of the Metaverse in the technical aspect. The work proposes a new technology perspective of the Metaverse and will provide further guidance for its technology development in the future. © 2022 Published by Elsevier Ltd.",false,2023-03-03,http://creativecommons.org/licenses/by-nc-nd/4.0/,Journal,https://api.elsevier.com/content/article/pii/S2352864823000524,"[{'@_fa': 'true', '$': 'Shi, Feifei'}, {'@_fa': 'true', '$': 'Ning, Huansheng'}, {'@_fa': 'true', '$': 'Zhang, Xiaohong'}, {'@_fa': 'true', '$': 'Li, Rongyang'}, {'@_fa': 'true', '$': 'Tian, Qiaohui'}, {'@_fa': 'true', '$': 'Zhang, Shiming'}, {'@_fa': 'true', '$': 'Zheng, Yuanyuan'}, {'@_fa': 'true', '$': 'Guo, Yudong'}, {'@_fa': 'true', '$': 'Daneshmand, Mahmoud'}]","[{'@_fa': 'true', '@rel': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S2352864823000524'}, {'@_fa': 'true', '@rel': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S2352864823000524?v=s5'}]",,application/json,Full,S2352-8648(23)00052-4,Chongqing University of Posts and Telecommunications. Production and hosting by Elsevier B.V. on behalf of KeAi Communications Co. Ltd.,"A new technology perspective of the Metaverse: Its essence, framework and challenges",© 2023 Chongqing University of Posts and Telecommunications. Production and hosting by Elsevier B.V. on behalf of KeAi Communications Co. Ltd.,1,,"[{'@_fa': 'true', '$': 'Metaverse'}, {'@_fa': 'true', '$': 'Technical framework'}, {'@_fa': 'true', '$': 'Ubiquitous connections'}, {'@_fa': 'true', '$': 'Space convergence'}, {'@_fa': 'true', '$': 'Virtuality and reality interaction'}, {'@_fa': 'true', '$': 'Human-centered communication'}]",true,Digital Communications and Networks,FundingBody,,,fla,Available online 3 March 2023,10.1016/j.dcan.2023.02.017,,doi:10.1016/j.dcan.2023.02.017,Chongqing University of Posts and Telecommuniocations,23528648,,,,,,
../full_texts/10.1016/j.micpro.2023.104794/10.1016_j.micpro.2023.104794.json,unkonwn,Digital Twins is a transformation of technology in a new dimension and enhancing the research opportunities to solve the complex problems in various industries,1-s2.0-S0141933123000406,"The Digital twins will duplicate the actual objects, create the virtual world and execute using IoT devices and Sensors. The Emergency Room Service (ERS) is a critical phase for patients in health condition evaluation, Digital Health records will help us in understanding the cause of illness, medical history will help us to start the treatment. The most challenging for ERS is anonymous person or unknown follow ups about patients. The proposed model (Emergency Service Room with Digital Twins), helps to treat a patient with fast-track service and reduce the length of Stay in ER. The risk factor of a patient's life by reviewing the medical history of the patients through digital health records. This novel method will help doctors in treating patients by Computing Image Processing in face recognition of patients. The biometric used for authentication to access the cloud for digital health records. The communication system used to acknowledge the family, Insurance Company and expert adviser. The empirical results successfully proved the novel proposed idea with above 80% of success rate. We can build an intelligent expert system to collaborate the Digital Health Record, E-H-S, Expert Adviser, and an expert system in the future. In treating Anonym patients in the Emergency department.",false,2023-04-30,,Journal,https://api.elsevier.com/content/article/pii/S0141933123000406,"[{'@_fa': 'true', '$': 'Aluvalu, Rajanikanth'}, {'@_fa': 'true', '$': 'Mudrakola, Swapna'}, {'@_fa': 'true', '$': 'V, Uma Maheswari'}, {'@_fa': 'true', '$': 'Kaladevi, A.C.'}, {'@_fa': 'true', '$': 'Sandhya, M.V.S'}, {'@_fa': 'true', '$': 'Bhat, C. Rohith'}]","[{'@_fa': 'true', '@rel': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0141933123000406'}, {'@_fa': 'true', '@rel': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0141933123000406'}]",,application/json,,S0141-9331(23)00040-6,Elsevier B.V.,The novel emergency hospital services for patients using digital twins,© 2023 Elsevier B.V. All rights reserved.,0,,"[{'@_fa': 'true', '$': 'Digital twins'}, {'@_fa': 'true', '$': 'Digital health record'}, {'@_fa': 'true', '$': 'Expert system'}, {'@_fa': 'true', '$': 'Sensors'}, {'@_fa': 'true', '$': 'Smart health care system'}]",false,Microprocessors and Microsystems,,104794,,fla,April 2023,10.1016/j.micpro.2023.104794,104794,doi:10.1016/j.micpro.2023.104794,,01419331,98,,,,104794,
../full_texts/10.1016/j.micpro.2023.104794/10.1016_j.micpro.2023.104794.json,unkonwn,"Digital Twins is a collaboration of various industries, technologies and utilities",1-s2.0-S0141933123000406,"The Digital twins will duplicate the actual objects, create the virtual world and execute using IoT devices and Sensors. The Emergency Room Service (ERS) is a critical phase for patients in health condition evaluation, Digital Health records will help us in understanding the cause of illness, medical history will help us to start the treatment. The most challenging for ERS is anonymous person or unknown follow ups about patients. The proposed model (Emergency Service Room with Digital Twins), helps to treat a patient with fast-track service and reduce the length of Stay in ER. The risk factor of a patient's life by reviewing the medical history of the patients through digital health records. This novel method will help doctors in treating patients by Computing Image Processing in face recognition of patients. The biometric used for authentication to access the cloud for digital health records. The communication system used to acknowledge the family, Insurance Company and expert adviser. The empirical results successfully proved the novel proposed idea with above 80% of success rate. We can build an intelligent expert system to collaborate the Digital Health Record, E-H-S, Expert Adviser, and an expert system in the future. In treating Anonym patients in the Emergency department.",false,2023-04-30,,Journal,https://api.elsevier.com/content/article/pii/S0141933123000406,"[{'@_fa': 'true', '$': 'Aluvalu, Rajanikanth'}, {'@_fa': 'true', '$': 'Mudrakola, Swapna'}, {'@_fa': 'true', '$': 'V, Uma Maheswari'}, {'@_fa': 'true', '$': 'Kaladevi, A.C.'}, {'@_fa': 'true', '$': 'Sandhya, M.V.S'}, {'@_fa': 'true', '$': 'Bhat, C. Rohith'}]","[{'@_fa': 'true', '@rel': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0141933123000406'}, {'@_fa': 'true', '@rel': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0141933123000406'}]",,application/json,,S0141-9331(23)00040-6,Elsevier B.V.,The novel emergency hospital services for patients using digital twins,© 2023 Elsevier B.V. All rights reserved.,0,,"[{'@_fa': 'true', '$': 'Digital twins'}, {'@_fa': 'true', '$': 'Digital health record'}, {'@_fa': 'true', '$': 'Expert system'}, {'@_fa': 'true', '$': 'Sensors'}, {'@_fa': 'true', '$': 'Smart health care system'}]",false,Microprocessors and Microsystems,,104794,,fla,April 2023,10.1016/j.micpro.2023.104794,104794,doi:10.1016/j.micpro.2023.104794,,01419331,98,,,,104794,
../full_texts/10.1016/j.apmt.2018.11.003/10.1016_j.apmt.2018.11.003.json,unkonwn,digital twin is a virtual replica of the hardware that has been successfully constructed and utilized for different manufacturing processes by many industries and government agencies,1-s2.0-S2352940718304931,"The customized production of complex components by 3D printing has been hailed as a potentially transformative tool in manufacturing with important applications in health care, automotive and aerospace industries. However, after about a quarter of a century of research and development, only a handful of commercial alloys can be printed and the market value of all 3D printed products now amounts to a negligible portion of the manufacturing economy. This difficulty is attributable to a remarkable diversity in structure and properties of the printed components and susceptibility to defects. In addition, the current practice of qualifying components by prolonged trial and error with expensive printing equipment and feed stock material confine the printed products to a niche market where the high product cost and the delay in the qualification are not critical factors. Here we explain how a digital twin or a digital replica of the printing machine will reduce the number of trial and error tests to obtain desired product attributes and reduce the time required for part qualification to make the printed components cost effective. It is shown that a comprehensive digital twin of 3D printing machine consisting of mechanistic, control and statistical models of 3D printing, machine learning and big data can reduce the volume of trial and error testing, reduce defects and shorten time between the design and production.",false,2019-03-31,,Journal,https://api.elsevier.com/content/article/pii/S2352940718304931,"[{'@_fa': 'true', '$': 'Mukherjee, T.'}, {'@_fa': 'true', '$': 'DebRoy, T.'}]","[{'@_fa': 'true', '@rel': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S2352940718304931'}, {'@_fa': 'true', '@rel': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S2352940718304931'}]",,application/json,,S2352-9407(18)30493-1,,A digital twin for rapid qualification of 3D printed metallic components,Published by Elsevier Ltd.,0,,"[{'@_fa': 'true', '$': 'Additive manufacturing'}, {'@_fa': 'true', '$': 'Digital twin'}, {'@_fa': 'true', '$': 'Machine learning'}, {'@_fa': 'true', '$': 'Big data'}, {'@_fa': 'true', '$': 'Mechanistic model'}]",false,Applied Materials Today,,59-65,65,sco,March 2019,10.1016/j.apmt.2018.11.003,59,doi:10.1016/j.apmt.2018.11.003,,23529407,14,,,,,
../full_texts/10.1016/j.jmsy.2020.08.001/10.1016_j.jmsy.2020.08.001.json,unkonwn,digital twin is a very significant and promising research aspect in industrial production,1-s2.0-S0278612520301345,"Predictive maintenance is one of the important technical means to guarantee and improve the normal industrial production. The existing bottlenecks for popularization and application are analyzed. In order to solve these problems, a cooperative awareness and interconnection framework across multiple organizations for total factors that affect prediction maintenance decision-making is discussed. Initially, the structure and operation mechanism of this framework are proposed. It is designed to support the sharing of data, knowledge and resources. As a key supporting technology, the digital twin is also integrated into it to improve the accuracy of fault diagnosis and prediction and support making a maintenance plan with higher accuracy and reliability. Then, under this framework, an integrated mathematical programming model is established with considering the parameter uncertainty and an NSGA-II hybrid algorithm is utilized to solve it. Moreover, an adjustment strategy for a maintenance plan is discussed in response to the dynamic characteristics of the actual maintenance environment. Finally, a case, prediction maintenance decision-making for bearings in grinding rolls of the large vertical mill, is studied. Analysis results verify the advantage of the integrated solving mechanism based on the proposed framework. The framework and integrated decision-making approach can guide the implementation of predictive maintenance with higher accuracy and reliability for industrial enterprises.",false,2021-01-31,,Journal,https://api.elsevier.com/content/article/pii/S0278612520301345,"[{'@_fa': 'true', '$': 'Mi, Shanghua'}, {'@_fa': 'true', '$': 'Feng, Yixiong'}, {'@_fa': 'true', '$': 'Zheng, Hao'}, {'@_fa': 'true', '$': 'Wang, Yong'}, {'@_fa': 'true', '$': 'Gao, Yicong'}, {'@_fa': 'true', '$': 'Tan, Jianrong'}]","[{'@_fa': 'true', '@rel': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0278612520301345'}, {'@_fa': 'true', '@rel': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0278612520301345'}]",,application/json,,S0278-6125(20)30134-5,The Society of Manufacturing Engineers. Published by Elsevier Ltd.,Prediction maintenance integrated decision-making approach supported by digital twin-driven cooperative awareness and interconnection framework,© 2020 The Society of Manufacturing Engineers. Published by Elsevier Ltd. All rights reserved.,0,,"[{'@_fa': 'true', '$': 'Predictive maintenance'}, {'@_fa': 'true', '$': 'Digital twin'}, {'@_fa': 'true', '$': 'Perception of total factors'}, {'@_fa': 'true', '$': 'Dynamic integrated decision'}, {'@_fa': 'true', '$': 'NSGA-II hybrid algorithm'}]",false,Journal of Manufacturing Systems,,329-345,345,fla,January 2021,10.1016/j.jmsy.2020.08.001,329,doi:10.1016/j.jmsy.2020.08.001,,02786125,58,,,Digital Twin towards Smart Manufacturing and Industry 4.0,,
../full_texts/10.1016/j.procir.2021.11.160/10.1016_j.procir.2021.11.160.json,unkonwn,Digital Twin is a complex topic developing over thirty years and still in progress,1-s2.0-S2212827121010581,"The article deals with the preparation and definition of new relations within a software tool aimed at increasing the efficiency of production processes. These are three types of innovative concepts: Digital Master, Digital Technologist and Digital Twin that can be provided to customers separately, but also as integration into existing software in the production and logistics management process. By defining these relations within the developed software tool and its implementation into the production process, the automation and digitization of logistics processes in production facilities will reach a higher level that meets the requirements of Industry 4.0.",false,2021-12-31,http://creativecommons.org/licenses/by-nc-nd/4.0/,Journal,https://api.elsevier.com/content/article/pii/S2212827121010581,"[{'@_fa': 'true', '$': 'Monka, Peter Pavol'}, {'@_fa': 'true', '$': 'Monkova, Katarina'}]","[{'@_fa': 'true', '@rel': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S2212827121010581'}, {'@_fa': 'true', '@rel': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S2212827121010581'}]",,application/json,Full,S2212-8271(21)01058-1,The Author(s). Published by Elsevier B.V.,Innovative Relations within the Software Application for Industry 4.0,© 2021 The Author(s). Published by Elsevier B.V.,1,,"[{'@_fa': 'true', '$': 'Human-Cyber-Physical Systems'}, {'@_fa': 'true', '$': 'Digital'}, {'@_fa': 'true', '$': 'Twin'}, {'@_fa': 'true', '$': 'Shop-floor'}]",true,Procedia CIRP,ElsevierWaived,951-956,956,fla,2021,10.1016/j.procir.2021.11.160,951,doi:10.1016/j.procir.2021.11.160,,22128271,104,,,54th CIRP CMS 2021 - Towards Digitalized Manufacturing 4.0,,
../full_texts/10.1016/B978-0-12-822129-7.00004-8/10.1016_B978-0-12-822129-7.00004-8.json,unkonwn,digital twin is a living model that drives a business benefit,3-s2.0-B9780128221297000048,This chapter introduces environmental assessment approaches and the influence of environmental design studies on architecture.,false,2022-12-31,,EBook,https://api.elsevier.com/content/article/pii/B9780128221297000048,"{'@_fa': 'true', '$': 'Habibi, Shahryar'}","[{'@_fa': 'true', '@rel': 'self', '@href': 'https://api.elsevier.com/content/article/pii/B9780128221297000048'}, {'@_fa': 'true', '@rel': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/B9780128221297000048'}]",9780128221297,application/json,,B978-0-12-822129-7.00004-8,Elsevier Inc.,Chapter 4 The role of environmental studies in driving automation and digital transformation,Copyright © 2022 Elsevier Inc. All rights reserved.,0,urn:isbn:978-0-12-822129-7,"[{'@_fa': 'true', '$': 'Life cycle assessment (LCA)'}, {'@_fa': 'true', '$': 'Environmental impact assessment (EIA)'}, {'@_fa': 'true', '$': 'Environmental risk assessment (ERA)'}, {'@_fa': 'true', '$': 'Artificial intelligence of things (AIoT)'}, {'@_fa': 'true', '$': 'Biomimicry'}, {'@_fa': 'true', '$': 'Biophilic'}]",false,Building Automation and Digital Technologies,,121-160,160,chp,2022,10.1016/B978-0-12-822129-7.00004-8,121,doi:10.1016/B978-0-12-822129-7.00004-8,,,,,,,,
../full_texts/10.1016/j.ymssp.2022.109971/10.1016_j.ymssp.2022.109971.json,unkonwn,digital twin is a computational model of the physical system (called the physical twin),1-s2.0-S0888327022010391,"This paper describes a time-evolving digital twin and its application to a proof-of-concept engineering dynamics example. In this work, the digital twin is constructed by combining physics-based and data-based models of the physical twin, using a weighting technique. The resulting model combination enables the temporal evolution of the digital twin to be optimised based on the data recorded from the physical twin. This is achieved by creating digital twin output functions that are optimally-weighted combinations of physics- and/or data-based model components that can be updated over time to reflect the behaviour of the physical twin as accurately as possible. The engineering dynamics example is a system consisting of two cascading tanks driven by a pump. The data received by the digital twin is segmented so that the process can be carried out over relatively short time-scales. The weightings are computed based on error and robustness criteria. It is also shown how the error and robustness weights can be used to make a combined weighting. The results show how the time-varying water level in the tanks can be captured with the digital twin output functions, and a comparison is made with three different weighting choice criteria.",false,2023-04-01,,Journal,https://api.elsevier.com/content/article/pii/S0888327022010391,"[{'@_fa': 'true', '$': 'Edington, Lara'}, {'@_fa': 'true', '$': 'Dervilis, Nikolaos'}, {'@_fa': 'true', '$': 'Ben Abdessalem, Anis'}, {'@_fa': 'true', '$': 'Wagg, David'}]","[{'@_fa': 'true', '@rel': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0888327022010391'}, {'@_fa': 'true', '@rel': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0888327022010391'}]",,application/json,,S0888-3270(22)01039-1,Elsevier Ltd.,A time-evolving digital twin tool for engineering dynamics applications,© 2022 Elsevier Ltd. All rights reserved.,0,,"[{'@_fa': 'true', '$': 'Digital twin'}, {'@_fa': 'true', '$': 'Time-evolving'}, {'@_fa': 'true', '$': 'Approximate bayesian computation'}, {'@_fa': 'true', '$': 'Optimisation'}, {'@_fa': 'true', '$': 'Dynamics'}]",false,Mechanical Systems and Signal Processing,,109971,,fla,1 April 2023,10.1016/j.ymssp.2022.109971,109971,doi:10.1016/j.ymssp.2022.109971,,08883270,188,,,,109971,
../full_texts/10.1016/j.ymssp.2022.109971/10.1016_j.ymssp.2022.109971.json,unkonwn,digital twin is a capability to model complex engineering (or other) systems,1-s2.0-S0888327022010391,"This paper describes a time-evolving digital twin and its application to a proof-of-concept engineering dynamics example. In this work, the digital twin is constructed by combining physics-based and data-based models of the physical twin, using a weighting technique. The resulting model combination enables the temporal evolution of the digital twin to be optimised based on the data recorded from the physical twin. This is achieved by creating digital twin output functions that are optimally-weighted combinations of physics- and/or data-based model components that can be updated over time to reflect the behaviour of the physical twin as accurately as possible. The engineering dynamics example is a system consisting of two cascading tanks driven by a pump. The data received by the digital twin is segmented so that the process can be carried out over relatively short time-scales. The weightings are computed based on error and robustness criteria. It is also shown how the error and robustness weights can be used to make a combined weighting. The results show how the time-varying water level in the tanks can be captured with the digital twin output functions, and a comparison is made with three different weighting choice criteria.",false,2023-04-01,,Journal,https://api.elsevier.com/content/article/pii/S0888327022010391,"[{'@_fa': 'true', '$': 'Edington, Lara'}, {'@_fa': 'true', '$': 'Dervilis, Nikolaos'}, {'@_fa': 'true', '$': 'Ben Abdessalem, Anis'}, {'@_fa': 'true', '$': 'Wagg, David'}]","[{'@_fa': 'true', '@rel': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0888327022010391'}, {'@_fa': 'true', '@rel': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0888327022010391'}]",,application/json,,S0888-3270(22)01039-1,Elsevier Ltd.,A time-evolving digital twin tool for engineering dynamics applications,© 2022 Elsevier Ltd. All rights reserved.,0,,"[{'@_fa': 'true', '$': 'Digital twin'}, {'@_fa': 'true', '$': 'Time-evolving'}, {'@_fa': 'true', '$': 'Approximate bayesian computation'}, {'@_fa': 'true', '$': 'Optimisation'}, {'@_fa': 'true', '$': 'Dynamics'}]",false,Mechanical Systems and Signal Processing,,109971,,fla,1 April 2023,10.1016/j.ymssp.2022.109971,109971,doi:10.1016/j.ymssp.2022.109971,,08883270,188,,,,109971,
